Temperature,Vibration,Power_Consumption,Humidity,Machine_Type,Pressure,RPM,Motor_current,operating_Hours,machine_age,lubricant_level,,failures
74.96714153,56.99677718,8.64964345,20.46096221,Mill,464.006,1551,0.04,11,7.55,76.46,,0
68.61735699,54.62316841,9.710962659,25.69807495,Lathe,635.401,1408,0.04,13,19.02,49.62,,0
76.47688538,50.29815185,8.415160158,27.93197233,Drill,606.002,1498,0.0425,10,14.67,54.09,,0
85.23029856,46.76531611,9.384076941,39.43843829,Lathe,661.471,1433,0.04,6,12.01,60.92,,0
67.65846625,53.49111657,6.212770666,32.78276562,Drill,731.494,1408,0.04,12,3.2,87.6,,1
67.65863043,51.96742693,10.42658741,23.32259215,Drill,800.434,1425,0.04,13,3.2,85,,0
85.79212816,54.4759661,10.00241095,32.43018145,Lathe,854.747,1558,0.04,8,1.26,92.05,,0
77.67434729,53.17585901,8.365822738,22.26348006,Mill,952.122,1527,0.04,16,17.34,45.68,,0
65.30525614,55.24776358,11.31849134,35.41345527,Drill,1115.797,1667,0.04,10,12.06,64.17,,0
75.42560044,47.32382394,11.87514028,27.64437674,Mill,464.017,1741,0.04,7,14.19,65.73,,0
65.36582307,56.58697033,6.784880271,29.53181906,Lathe,635.96,1782,0.04,9,0.51,96.32,,0
65.34270246,50.98799802,8.474550443,36.62898324,Drill,605.169,1423,0.04,15,19.4,40.76,,0
72.41962272,60.37630436,8.4617153,23.56418216,Lathe,660.568,1339,0.04,15,16.67,48.63,,0
50.86719755,46.55406091,8.120193798,23.01440907,Mill,730.495,1742,0.04,14,4.33,93.39,,1
52.75082167,58.67981902,11.65894968,27.08200337,Lathe,799.298,2035,0.04,9,3.72,94.25,,0
64.37712471,50.98955392,9.612347722,35.19189426,Lathe,853.701,1542,0.04,6,3.75,83.48,,0
59.8716888,46.74290998,9.470970317,22.40326962,Drill,951.073,1311,0.04,6,6.15,81.75,,0
73.14247333,47.58057083,5.992275271,15.83922201,Lathe,1114.887,1410,0.04,8,10.54,64.97,,0
60.91975924,48.39826346,11.27083606,27.74420571,Lathe,473.665,1306,0.04,11,8.7,73.76,,0
55.87696299,52.12082973,7.52148321,32.758704,Lathe,635.133,1632,0.04,15,5.9,82.15,,0
84.65648769,52.61417744,10.11986526,36.00130875,Drill,604.338,1375,0.0375,12,12.28,58.47,,0
67.742237,47.13149998,10.55475388,27.68419319,Mill,659.666,1450,0.04,12,2.88,93.94,,0
70.67528205,49.87822704,12.72131719,27.94286696,Mill,729.497,1581,0.04,13,5.91,81.79,,0
55.75251814,60.71135179,7.382359202,35.76950367,Lathe,798.166,1758,0.04,15,7.39,80.14,,0
64.55617275,58.63771585,3.960975688,20.6512915,Drill,852.658,1561,0.0425,8,9.18,74.63,,0
71.1092259,52.18161835,10.36769909,28.05739612,Lathe,950.027,1861,0.04,19,15.73,54.36,,0
58.49006423,50.19001739,13.60102236,30.95211945,Mill,1113.985,1512,0.04,14,4.07,86.68,,0
73.75698018,50.60015663,12.47789271,32.24609361,Drill,490.661,1811,0.04,7,10.33,71.4,,0
63.9936131,53.06758986,10.41931883,27.45096653,Mill,633.651,1439,0.04,17,11.89,58.05,,0
67.0830625,44.88603717,9.016727629,30.17220506,Mill,603.509,1693,0.04,10,1.02,100,,0
63.98293388,48.71311731,11.61424519,17.55836323,Drill,658.766,1339,0.04,15,12.19,64.36,,0
88.52278185,41.65707963,8.052907601,26.70875794,Drill,728.501,1798,0.04,12,3.49,91.73,,0
69.86502775,51.99611561,10.95271554,32.26754356,Lathe,797.037,1419,0.04,7,1.39,88.6,,0
59.42289071,53.2359797,11.01094032,25.08852983,Lathe,851.618,1665,0.04,15,18.98,42.08,,0
78.22544912,47.58406769,12.12041981,30.29492111,Mill,948.984,1559,0.04,9,19.32,36.88,,0
